Timestamp | CPU % of Total | CPU Used (cores) | %MEM | RAM Used (GB) | GPU Util % | GPU MEM Used (MB)
2025-05-22 17:11:21 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:23 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:24 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:25 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:26 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:27 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:28 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:29 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:31 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:32 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:33 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:34 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:35 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:36 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:38 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:39 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:40 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:41 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:42 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:43 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:44 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:46 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:47 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:48 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:49 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:50 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:51 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:52 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:54 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:55 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:56 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:57 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:58 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:11:59 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:01 | 0.21% | 0.05 | 9.5 | 11.95 | 1% | 571
2025-05-22 17:12:02 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:03 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:04 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:05 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:06 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:08 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:09 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:10 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:11 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:12 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:13 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:15 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:16 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:17 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:18 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:19 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:20 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:21 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:23 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:24 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:25 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:26 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:27 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:28 | 0.21% | 0.05 | 9.5 | 11.95 | 0% | 571
2025-05-22 17:12:30 | 0.21% | 0.05 | 10.4 | 13.06 | 0% | 571
2025-05-22 17:12:31 | 0.21% | 0.05 | 10.4 | 13.06 | 0% | 571
